pt_timepoint,partition_assignment,total_cells,n_genotyped_e10,n_genotyped_e1,mean_e10_wt_error,mean_e10_mt_error,mean_e1_wt_error,mean_e1_mt_error
cll5_baseline,B1,3381,1113,498,2.2144144144144144,1.813953488372093,0,0
cll5_baseline,T,245,30,8,2.6333333333333333,NaN,0,NaN
cll5_baseline,B2,1,0,0,NaN,NaN,NaN,NaN
cll5_baseline,Mono1,102,36,15,2.4722222222222223,NaN,0,NaN
cll5_baseline,Erythrocyte,2,0,0,NaN,NaN,NaN,NaN
cll5_btk_clone,B1,5010,1907,959,2.168858495528669,1.816326530612245,0,0
cll5_btk_clone,T,1141,159,31,2.440251572327044,3,0,NaN
cll5_btk_clone,Mono1,604,183,71,2.26775956284153,1.75,0,NaN
cll5_btk_clone,Mono2,1,0,0,NaN,NaN,NaN,NaN
cll5_btk_clone,Plt,10,2,0,2.5,NaN,NaN,NaN
cll5_btk_clone,DC,3,1,0,1,NaN,NaN,NaN
cll5_relapse,B1,4495,465,133,2.2838427947598254,2.2413793103448274,0,0
cll5_relapse,T,1759,75,4,2.712328767123288,3,0,NaN
cll5_relapse,Mono1,89,6,2,1.4,2,0,NaN
cll5_relapse,Plt,6,1,0,3,NaN,NaN,NaN
cll6_baseline,B1,10536,2066,714,2.1343355965082442,2.0454545454545454,0,0
cll6_baseline,T,134,12,4,2.0833333333333335,NaN,0,NaN
cll6_baseline,B2,1,0,0,NaN,NaN,NaN,NaN
cll6_baseline,Mono1,120,27,13,2.1481481481481484,3,0,NaN
cll6_baseline,Mono2,1,0,0,NaN,NaN,NaN,NaN
cll6_baseline,DC,2,0,0,NaN,NaN,NaN,NaN
cll6_btk_clone,B1,7,0,0,NaN,NaN,NaN,NaN
cll6_btk_clone,T,390,36,4,2.4722222222222223,NaN,0,NaN
cll6_btk_clone,B2,2993,360,107,2.3760445682451254,1.8888888888888888,0,0
cll6_btk_clone,Mono1,8,3,0,1.3333333333333333,NaN,NaN,NaN
cll6_btk_clone,B3,72,13,5,2.3076923076923075,NaN,0,NaN
cll6_btk_clone,Erythrocyte,37,2,0,3,NaN,NaN,NaN
cll6_btk_clone,B4,21,1,1,0,NaN,0,NaN
cll6_relapse,B1,994,143,45,2.1818181818181817,1.8,0,0
cll6_relapse,T,721,52,5,2.392156862745098,3,0,NaN
cll6_relapse,B2,9,1,0,1,NaN,NaN,NaN
cll6_relapse,Mono1,661,108,55,2.3738317757009346,1.9,0,0
cll6_relapse,Mono2,1,1,1,3,NaN,0,NaN
cll6_relapse,Plt,41,5,3,2.4,NaN,0,NaN
cll6_relapse,DC,2,0,0,NaN,NaN,NaN,NaN
cll7_baseline,B1,3476,1421,738,2.2708039492242595,1.6938775510204083,0,0
cll7_baseline,T,366,60,12,2.1166666666666667,NaN,0,NaN
cll7_baseline,Mono1,24,18,11,2.3333333333333335,NaN,0,NaN
cll7_baseline,Erythrocyte,1,0,0,NaN,NaN,NaN,NaN
cll7_baseline,DC,1,1,0,3,NaN,NaN,NaN
cll7_btk_clone,B1,405,121,62,2.1120689655172415,2.263157894736842,0,0
cll7_btk_clone,T,1934,145,30,1.986013986013986,3,0,NaN
cll7_btk_clone,Mono1,338,76,41,2.2567567567567566,1.6923076923076923,0,0
cll7_btk_clone,Plt,13,2,2,3,3,0,NaN
cll7_btk_clone,Erythrocyte,1,0,0,NaN,NaN,NaN,NaN
cll7_btk_clone,DC,2,2,2,1.5,NaN,0,NaN
cll7_relapse,B1,926,198,85,1.8854166666666667,1.393939393939394,0,0
cll7_relapse,T,1664,106,21,2.0693069306930694,1.7272727272727273,0,0
cll7_relapse,Mono1,284,83,46,2.1927710843373496,1.6,0,0
cll7_relapse,Plt,29,3,3,1.6666666666666667,NaN,0,NaN
cll7_relapse,Erythrocyte,3,1,1,3,NaN,0,NaN
cll7_relapse,DC,1,0,0,NaN,NaN,NaN,NaN
cll8_baseline,B1,2006,58,9,2.5185185185185186,2.8333333333333335,0,0
cll8_baseline,T,1235,26,0,3,3,NaN,NaN
cll8_baseline,B2,10,0,0,NaN,NaN,NaN,NaN
cll8_baseline,Mono1,23,0,0,NaN,NaN,NaN,NaN
cll8_baseline,Mono2,486,6,1,2.3333333333333335,NaN,0,NaN
cll8_baseline,Plt,28,1,0,3,NaN,NaN,NaN
cll8_baseline,Erythrocyte,12,2,0,3,NaN,NaN,NaN
cll8_btk_clone,B1,20,0,0,NaN,NaN,NaN,NaN
cll8_btk_clone,T,1356,18,0,2.8333333333333335,3,NaN,NaN
cll8_btk_clone,Mono1,712,19,5,2.2941176470588234,0.5,0,0
cll8_btk_clone,Plt,22,0,0,NaN,NaN,NaN,NaN
cll8_btk_clone,Erythrocyte,1,0,0,NaN,NaN,NaN,NaN
cll8_btk_clone,DC,9,0,0,NaN,NaN,NaN,NaN
cll8_relapse,B1,1559,65,10,2.6491228070175437,2.25,0,0
cll8_relapse,T,1188,37,2,3,3,NaN,0
cll8_relapse,Mono1,601,49,19,2.4583333333333335,2.5,0,0
cll8_relapse,Plt,32,2,0,2.5,NaN,NaN,NaN
cll8_relapse,DC,5,1,1,2,NaN,0,NaN
