cds_name,cds_dim_cells,Mean Reads per Cell,Median Genes per Cell,Fraction Reads in Cells
cds_cll_4_baseline,5164,30187,1517,83.6%
cds_cll_4_btk_clone,3190,44625,1145,95.6%
cds_cll_4_relapse,2691,52747,1461,89.5%
cds_cll_5_baseline,3731,25378,1394,94.1%
cds_cll_5_btk_clone,6769,12423,1313,95.8%
cds_cll_5_relapse,6399,14871,818,82.7%
cds_cll_6_baseline,10901,14810,1249,96.2%
cds_cll_6_btk_clone,3528,26161,1097,97.4%
cds_cll_6_relapse,2429,34485,1169,93.1%
cds_cll_7_baseline,3868,31115,1288,96.4%
cds_cll_7_btk_clone,2693,30159,1289,96.0%
cds_cll_7_relapse,2907,41966,1477,96.6%
cds_cll_8_baseline,3800,35599,1185,96.2%
cds_cll_8_btk_clone,2120,72753,1257,95.9%
cds_cll_8_relapse,3385,35626,1399,95.8%
cds_cll_9_baseline,6221,15492,1487,87.2%
cds_cll_9_btk_clone,1686,70796,1508,97.1%
cds_cll_9_relapse,8565,18592,1546,96.5%
cds_cll_10_baseline,6311,34869,1953,96.8%
cds_cll_10_btk_clone,1756,110499,1647,82.4%
cds_cll_10_relapse,2062,36194,1808,95.6%
cds_cll_11_baseline,7336,24541,1449,91.4%
cds_cll_11_btk_clone,6390,19362,1497,96.8%
cds_cll_11_relapse,5099,15191,1513,96.3%
cds_cll_12_baseline,10706,20350,1616,97.0%
cds_cll_12_btk_clone,5372,17973,1409,96.0%
cds_cll_12_relapse,5911,16353,1361,97.0%
